split,t,n_users,n_active_films,rs,hit_rate,hit_rate_at_1,gini,gini_our,entropy,aplt,jain,fsat,minskew,maxskew,coverage,hr_gap_gender,hr_gap_age,ndcg_gap_gender,u_val_gender,u_over_gender,u_under_gender,u_val_age,u_over_age,u_under_age
10%,1,697,3018,Popularity,0.0617,0.0703012912482066,0.9919039564620883,0.9947104268379117,0.4336031124433943,0.0077474892395982785,0.008064436647089864,0.027170311464546057,-5.169332295131904,23.86287179441053,0.03777335984095427,0.022122087773162373,0.0820879120879121,0.018666503890191574,,,,,,
10%,1,697,3018,CF,0.0608,0.0746054519368723,0.9167378322128444,0.9115762595729056,0.724177993443672,0.05021520803443329,0.07184836337459187,0.1679920477137177,-3.807370034672259,23.86287179441053,0.22697150430748841,0.01701824092468847,0.07598901098901098,0.012784059040127194,0.4947,0.3265,0.1683,0.9027,0.5108,0.3977
10%,1,697,3018,Random,0.0062,0.007173601147776184,0.3665239552641112,0.30303653593212454,0.9684779872040831,0.3170731707317073,0.6905049342471822,0.6669980119284294,-1.4655642285339705,23.86287179441053,0.8936381709741551,0.0013310456926133281,0.00737891737891738,0.0012248290349448727,,,,,,
10%,1,697,3018,FairnessExp,0.0082,0.01291248206599713,0.09253213383496249,0.0,0.9976128375785388,,0.9614771847551256,1.0,-0.2615914242313677,0.14387368386013002,1.0,0.0012813798085605935,0.016923076923076926,0.0008780745571426276,,,,,,
10%,1,697,3018,NextItem_k10,1.0,1.0,0.8435921825369621,0.830676748847853,0.790373852508126,0.0,0.13386901277903887,1.0,-3.54644152046265,22.251998131723838,0.24486414844267726,0.0,0.0,0.04870346791828617,,,,,,
20%,2,1429,3266,Popularity,0.0523,0.07557732680195942,0.9927744640478035,0.9955862739397463,0.4245964291664737,0.006787963610916725,0.007275581067964372,0.02296387017758726,-5.266886638375663,24.501844927356814,0.03919167176974893,0.009500515841173826,0.04469236437321544,0.007645554897580981,,,,,,
20%,2,1429,3266,CF,0.0505,0.055283414975507345,0.9163556750488632,0.9145783515644874,0.7286975364357353,0.042407277816655,0.07491878262607118,0.15646050214329454,-3.5609586049979205,24.501844927356814,0.24188609920391918,0.006982373222111503,0.048695909899229395,0.0031064012691525006,0.4215,0.2989,0.1226,0.809,0.4634,0.3456
20%,2,1429,3266,Random,0.0052,0.0027991602519244225,0.2693730643819714,0.2287428680452084,0.984731939208117,0.3620713785864241,0.8099411786674693,0.6240048989589713,-1.1630633322060437,24.501844927356814,0.9871402327005512,0.0013705062297741767,0.005239111585406524,0.0008496614762899392,,,,,,
20%,2,1429,3266,FairnessExp,0.0064,0.006997900629811057,0.05358857743779132,0.0,0.9992556784315743,,0.9879004460169689,1.0,-0.13344391503774247,0.08969963627146717,1.0,0.0011482977241263764,0.006936701179504684,0.0011705632035361722,,,,,,
20%,2,1429,3266,NextItem_k10,1.0,1.0,0.8351435371529942,0.8284892280808815,0.7986491338824352,0.0,0.11046761924335331,1.0,-4.227457052567877,22.841445145208883,0.31200244947948563,0.0,0.0,0.01074588038432378,,,,,,
30%,3,2089,3378,Popularity,0.055,0.07994255624700813,0.9931216859237014,0.9959722500472297,0.4210981735507501,0.005983724269985639,0.0069329994462368205,0.021610420367081114,-5.297648880818681,24.847837687139492,0.037892243931320305,0.015702855417529332,0.05497664390945025,0.016730979850167922,,,,,,
30%,3,2089,3378,CF,0.0463,0.05074198180947822,0.9117030735015323,0.912272588107959,0.7368711215877355,0.04461464815701292,0.08084243249166775,0.15423327412670218,-3.557910596341884,24.847837687139492,0.24748371817643577,0.01116470410628019,0.043634870058747395,0.008132634689398833,0.4053,0.2846,0.1207,0.8073,0.4825,0.3257
30%,3,2089,3378,Random,0.0072,0.009573958831977022,0.22582880072419714,0.2071826454467041,0.9895814378807338,0.41211105792245095,0.859318662804751,0.5831853167554766,-1.0683850007026836,24.847837687139492,0.9979277679100059,0.0006656530365769494,0.009113312755152845,0.0003976349940026658,,,,,,
30%,3,2089,3378,FairnessExp,0.0069,0.00861656294877932,0.02429246091838016,0.0,0.9997659604613677,,0.9960871782149909,1.0,-0.12392339187056245,0.030227287954314803,1.0,0.00035520186335403787,0.010078951013435523,0.0008577432590304874,,,,,,
30%,3,2089,3378,NextItem_k10,1.0,1.0,0.8083518960680973,0.8060258915006767,0.8202354844924937,0.16188524590163936,0.13580259057880362,0.3848431024274719,-3.705429751460422,23.17056878019222,0.3848431024274719,0.0,0.0,0.006905600834071657,,,,,,
40%,4,2665,3454,Popularity,0.051,0.07129455909943715,0.9929711425749953,0.995741709012321,0.42548060994487147,0.005966228893058162,0.007040649774018021,0.022003474232773594,-5.296930664419853,25.069107100840785,0.039664157498552406,0.01038399285594687,0.0543338683788122,0.009771197124578412,,,,,,
40%,4,2665,3454,CF,0.0433,0.054409005628517824,0.9108483407225058,0.9111429526078737,0.7393650632407613,0.039174484052532835,0.0833699686683327,0.1580775911986103,-3.482196768231855,25.069107100840785,0.25535610885929355,0.005084556566389467,0.05292134831460674,0.005398203540429188,0.3825,0.2617,0.1208,0.7738,0.4778,0.2991
40%,4,2665,3454,Random,0.0056,0.007879924953095686,0.20513393395481325,0.18415166830552118,0.9915628908773673,0.3480675422138837,0.8821470758739554,0.6488129704690214,-0.9524761026586637,2.043256170800327,1.0,0.0016046213093709877,0.00792768959435626,0.0003721247783852722,,,,,,
40%,4,2665,3454,FairnessExp,0.0063,0.00675422138836773,0.026371838507926747,0.0,0.9997860896300711,,0.9965936939782856,1.0,-0.036185370792008585,0.09734602183072831,1.0,0.0005776636713735557,0.00827517447657029,0.00011837417607183905,,,,,,
40%,4,2665,3454,NextItem_k10,1.0,1.0,0.8038533155449122,0.8009220898596,0.8236649467539895,0.14223575467594607,0.13576064540209215,0.40822235089751013,-3.7212447385426666,23.31193937663208,0.40822235089751013,0.0,0.0,0.009384714633030367,,,,,,
50%,5,3255,3551,Popularity,0.0417,0.05622119815668203,0.9929223199713112,0.9956605305655818,0.42866443670562326,0.004731182795698925,0.007083589788759017,0.022528865108420164,-5.302516066528596,25.241399044644993,0.039425513939735285,0.011377756373718552,0.04036513558026632,0.00923716856828332,,,,,,
50%,5,3255,3551,CF,0.038,0.04516129032258064,0.9107185055506746,0.9119541073801392,0.7406512972876818,0.03956989247311828,0.0843940391905755,0.15178822866798086,-3.5465032680759543,25.241399044644993,0.25711067304984514,0.00680033665352036,0.03932527422844656,0.00590960140901476,0.3624,0.246,0.1165,0.7534,0.4675,0.286
50%,5,3255,3551,Random,0.0043,0.004915514592933948,0.1875969253809208,0.1756145417429043,0.9929000540304157,0.4249769585253456,0.8992711047616978,0.5736412278231484,-0.8754943386583245,25.241399044644993,0.9997183891861448,0.000194984636039423,0.0029612843754801043,0.0011073703104398287,,,,,,
50%,5,3255,3551,FairnessExp,0.0049,0.003686635944700461,0.015134829288043739,0.0,0.9999013531524099,,0.9983516071293388,1.0,-0.08703697829950904,0.01832353735720629,1.0,0.0010146567671869625,0.0064846012250126496,0.0011949013393260826,,,,,,
50%,5,3255,3551,NextItem_k10,1.0,1.0,0.8109720116169278,0.8103843409243098,0.814509120756924,0.12099387828592006,0.10452956680405992,0.4246691072937201,-4.03004767949175,23.47314006492805,0.4246691072937201,0.0,0.0,0.04193465307182487,,,,,,
60%,6,4082,3575,Popularity,0.0465,0.059284664380205784,0.9931469079670942,0.9958439251279897,0.42538945177837756,0.005316021558059774,0.006887704348175983,0.021538461538461538,-5.327814327774075,25.46105791118494,0.03972027972027972,0.01595362831775876,0.046224489795918366,0.013243560538035035,,,,,,
60%,6,4082,3575,CF,0.0411,0.048260656540911315,0.9092867818120145,0.909912346916062,0.7430166805059426,0.039735423811856935,0.0868542595109713,0.15384615384615385,-3.3638856732163434,25.46105791118494,0.2620979020979021,0.011351782683304418,0.04570980040367795,0.010497490637854608,0.3597,0.2474,0.1123,0.7063,0.4505,0.2558
60%,6,4082,3575,Random,0.0054,0.005879470847623714,0.16757370410089664,0.14987801033187112,0.9944729249425456,0.41359627633512985,0.9182161326904079,0.5868531468531468,-0.8969975289342895,2.4352069811444856,1.0,0.0021880187641057217,0.005888010579784195,0.0010970081891446357,,,,,,
60%,6,4082,3575,FairnessExp,0.0054,0.006614404703576678,0.02130862767805443,0.0,0.9998864590356283,,0.9981372747519741,1.0,-0.04969966855184805,0.03731170843702412,1.0,0.000641460559938821,0.007446736936532856,0.0007374919060528428,,,,,,
60%,6,4082,3575,NextItem_k10,1.0,1.0,0.7937945935509881,0.7915673543260657,0.8282735553018024,0.17661388550548113,0.12113407021295183,0.2925874125874126,-4.036146703089688,23.75187816164938,0.47748251748251747,0.0,0.0,0.029066145496178697,,,,,,
70%,7,4870,3633,Popularity,0.057,0.07063655030800821,0.9933170893548812,0.9959864434333463,0.42355237715920135,0.004948665297741273,0.006755329850019093,0.02064409578860446,-5.344607488288798,25.621471206797395,0.03908615469309111,0.020760764286343228,0.05501425142514253,0.017499260383631886,,,,,,
70%,7,4870,3633,CF,0.0477,0.05318275154004107,0.9081728011141312,0.9090399493597471,0.7451514298804166,0.040841889117043124,0.08887711798178327,0.15139003578309937,-3.370526462267009,25.621471206797395,0.26727222680979906,0.010400323200513817,0.0418479524008739,0.009809902857531284,0.3483,0.238,0.1103,0.6629,0.4194,0.2435
70%,7,4870,3633,Random,0.007,0.009034907597535934,0.1560193887765074,0.14096608839403127,0.9951840375826426,0.41349075975359345,0.9278975464456778,0.5840902835122488,-0.8055771048085494,1.4970079881554963,1.0,0.0019583672158658303,0.006120612061206123,0.0010480631612557185,,,,,,
70%,7,4870,3633,FairnessExp,0.0076,0.006570841889117043,0.017975211259326582,0.0,0.999918579475896,,0.9986608523432535,1.0,-0.04343705276546222,0.030670919387710122,1.0,0.00093085891572443,0.008634314135638914,1.7195373152540782e-05,,,,,,
